year_month_day_hour,pollution,dew,temp,pressure,w_dir,w_speed,snow,rain
02-01-2010 00:00,129,-16,-4,1020,SE,1.79,0,0
02-01-2010 01:00,148,-15,-4,1020,SE,2.68,0,0
02-01-2010 02:00,159,-11,-5,1021,SE,3.57,0,0
02-01-2010 03:00,181,-7,-5,1022,SE,5.36,1,0
02-01-2010 04:00,138,-7,-5,1022,SE,6.25,2,0
02-01-2010 05:00,109,-7,-6,1022,SE,7.14,3,0
02-01-2010 06:00,105,-7,-6,1023,SE,8.93,4,0
02-01-2010 07:00,124,-7,-5,1024,SE,10.72,0,0
02-01-2010 08:00,120,-8,-6,1024,SE,12.51,0,0
02-01-2010 09:00,132,-7,-5,1025,SE,14.3,0,0
02-01-2010 10:00,140,-7,-5,1026,SE,17.43,1,0
02-01-2010 11:00,152,-8,-5,1026,SE,20.56,0,0
02-01-2010 12:00,148,-8,-5,1026,SE,23.69,0,0
02-01-2010 13:00,164,-8,-5,1025,SE,27.71,0,0
02-01-2010 14:00,158,-9,-5,1025,SE,31.73,0,0
02-01-2010 15:00,154,-9,-5,1025,SE,35.75,0,0
02-01-2010 16:00,159,-9,-5,1026,SE,37.54,0,0
02-01-2010 17:00,164,-8,-5,1027,SE,39.33,0,0
02-01-2010 18:00,170,-8,-5,1027,SE,42.46,0,0
02-01-2010 19:00,149,-8,-5,1028,SE,44.25,0,0
02-01-2010 20:00,154,-7,-5,1028,SE,46.04,0,0
02-01-2010 21:00,164,-7,-5,1027,SE,49.17,1,0
02-01-2010 22:00,156,-8,-6,1028,SE,52.3,2,0
02-01-2010 23:00,126,-8,-6,1027,SE,55.43,3,0
03-01-2010 00:00,90,-7,-6,1027,SE,58.56,4,0
03-01-2010 01:00,63,-8,-6,1026,SE,61.69,5,0
03-01-2010 02:00,65,-8,-7,1026,SE,65.71,6,0
03-01-2010 03:00,55,-8,-7,1025,SE,68.84,7,0
03-01-2010 04:00,65,-8,-7,1024,SE,72.86,8,0
03-01-2010 05:00,83,-9,-8,1024,SE,76.88,9,0
03-01-2010 06:00,91,-10,-8,1024,SE,80.9,10,0
03-01-2010 07:00,86,-10,-9,1024,SE,84.92,11,0
03-01-2010 08:00,82,-10,-9,1024,SE,89.84,12,0
03-01-2010 09:00,86,-11,-9,1023,SE,93.86,13,0
03-01-2010 10:00,78,-11,-9,1023,SE,97.88,15,0
03-01-2010 11:00,98,-11,-9,1022,SE,102.8,16,0
03-01-2010 12:00,107,-11,-9,1021,SE,105.93,17,0
03-01-2010 13:00,90,-11,-9,1020,SE,111.74,19,0
03-01-2010 14:00,96,-11,-9,1020,SE,116.66,20,0
03-01-2010 15:00,95,-11,-9,1020,SE,121.58,21,0
03-01-2010 16:00,86,-11,-9,1020,SE,124.71,22,0
03-01-2010 17:00,70,-11,-9,1020,SE,127.84,23,0
03-01-2010 18:00,61,-11,-9,1021,cv,0.89,24,0
03-01-2010 19:00,53,-11,-9,1022,cv,1.78,25,0
03-01-2010 20:00,71,-10,-9,1022,NW,4.02,26,0
03-01-2010 21:00,72,-11,-10,1023,NW,7.15,27,0
03-01-2010 22:00,76,-11,-9,1023,NW,11.17,0,0
03-01-2010 23:00,73,-12,-11,1023,NW,14.3,0,0
04-01-2010 00:00,79,-14,-12,1023,NW,16.09,0,0
04-01-2010 01:00,58,-16,-9,1023,NW,21.9,0,0
04-01-2010 02:00,25,-17,-10,1024,NW,29.95,0,0
04-01-2010 03:00,26,-18,-11,1024,NW,39.78,0,0
04-01-2010 04:00,28,-19,-11,1025,NW,48.72,0,0
04-01-2010 05:00,26,-20,-12,1026,NW,55.87,0,0
04-01-2010 06:00,20,-21,-12,1027,NW,64.81,0,0
04-01-2010 07:00,29,-21,-13,1027,NW,73.75,0,0
04-01-2010 08:00,26,-22,-13,1028,NW,80.9,0,0
04-01-2010 09:00,27,-22,-13,1029,NW,90.73,0,0
04-01-2010 10:00,27,-22,-12,1030,NW,100.56,0,0
04-01-2010 11:00,25,-23,-12,1031,NW,108.61,0,0
04-01-2010 12:00,29,-21,-11,1030,NW,117.55,0,0
04-01-2010 13:00,32,-20,-10,1030,NW,127.38,0,0
04-01-2010 14:00,28,-21,-10,1030,NW,136.32,0,0
04-01-2010 15:00,29,-21,-9,1030,NW,145.26,0,0
04-01-2010 16:00,30,-21,-9,1031,NW,152.41,0,0
04-01-2010 17:00,30,-20,-11,1032,NW,159.56,0,0
04-01-2010 18:00,28,-23,-11,1032,NW,165.37,0,0
04-01-2010 19:00,26,-21,-12,1033,NW,171.18,0,0
04-01-2010 20:00,31,-24,-12,1034,NW,180.12,0,0
04-01-2010 21:00,33,-24,-13,1034,NW,187.27,0,0
04-01-2010 22:00,29,-24,-13,1035,NW,195.32,0,0
04-01-2010 23:00,31,-26,-15,1035,NW,198.45,0,0
05-01-2010 00:00,30,-26,-17,1035,NW,201.58,0,0
05-01-2010 01:00,34,-26,-18,1035,NW,205.6,0,0
05-01-2010 02:00,27,-26,-19,1035,NW,208.73,0,0
05-01-2010 03:00,25,-27,-18,1035,NW,213.65,0,0
05-01-2010 04:00,28,-27,-19,1035,NW,218.57,0,0
05-01-2010 05:00,28,-27,-16,1034,NE,4.92,0,0
05-01-2010 06:00,27,-26,-16,1035,NE,8.05,0,0
05-01-2010 07:00,27,-27,-16,1034,NE,13.86,0,0
05-01-2010 08:00,27,-26,-16,1035,NE,18.78,0,0
05-01-2010 09:00,29,-26,-15,1035,NE,24.59,0,0
05-01-2010 10:00,36,-25,-14,1035,NE,29.51,0,0
05-01-2010 11:00,30,-25,-13,1035,NE,34.43,0,0
05-01-2010 12:00,27,-25,-12,1034,NE,39.35,0,0
05-01-2010 13:00,39,-24,-11,1032,NE,41.14,0,0
05-01-2010 14:00,41,-22,-11,1032,cv,0.89,0,0
05-01-2010 15:00,33,-23,-11,1031,NW,1.79,0,0
05-01-2010 16:00,50,-24,-11,1031,NW,3.58,0,0
05-01-2010 17:00,56,-23,-11,1031,NW,5.37,0,0
05-01-2010 18:00,59,-23,-11,1032,NW,7.16,0,0
05-01-2010 19:00,60,-22,-13,1033,NW,10.29,0,0
05-01-2010 20:00,84,-22,-12,1033,NW,13.42,0,0
05-01-2010 21:00,106,-24,-18,1033,NW,16.55,0,0
05-01-2010 22:00,66,-22,-13,1034,NW,20.57,0,0
05-01-2010 23:00,50,-22,-16,1033,NW,23.7,0,0
06-01-2010 00:00,56,-25,-17,1033,NW,26.83,0,0
06-01-2010 01:00,77,-25,-14,1033,NE,4.02,0,0
06-01-2010 02:00,50,-26,-14,1034,NE,8.04,0,0
06-01-2010 03:00,44,-26,-14,1033,NE,13.85,0,0
06-01-2010 04:00,27,-26,-14,1033,NE,17.87,0,0
06-01-2010 05:00,28,-26,-14,1033,NE,23.68,0,0
06-01-2010 06:00,21,-26,-14,1033,NE,28.6,0,0
06-01-2010 07:00,25,-26,-15,1034,NE,33.52,0,0
06-01-2010 08:00,20,-26,-14,1034,NE,39.33,0,0
06-01-2010 09:00,29,-25,-13,1035,NE,44.25,0,0
06-01-2010 10:00,34,-25,-12,1035,NE,50.06,0,0
06-01-2010 11:00,42,-24,-11,1035,NE,54.98,0,0
06-01-2010 12:00,28,-24,-10,1034,NE,59,0,0
06-01-2010 13:00,36,-22,-10,1033,NW,4.02,0,0
06-01-2010 14:00,48,-22,-9,1033,NW,5.81,0,0
06-01-2010 15:00,49,-22,-8,1033,cv,0.89,0,0
06-01-2010 16:00,52,-22,-8,1033,NW,1.79,0,0
06-01-2010 17:00,56,-21,-9,1033,NW,3.58,0,0
06-01-2010 18:00,96,-22,-9,1033,NW,5.37,0,0
06-01-2010 19:00,75,-22,-14,1034,cv,0.89,0,0
06-01-2010 20:00,105,-22,-12,1035,NW,1.79,0,0
06-01-2010 21:00,132,-21,-14,1034,NW,3.58,0,0
06-01-2010 22:00,93,-22,-16,1035,NW,5.37,0,0
06-01-2010 23:00,131,-21,-16,1035,NW,7.16,0,0
07-01-2010 00:00,127,-21,-16,1035,NW,8.95,0,0
07-01-2010 01:00,130,-21,-16,1035,cv,0.45,0,0
07-01-2010 02:00,43,-22,-18,1036,cv,1.34,0,0
07-01-2010 03:00,37,-23,-15,1036,NW,4.02,0,0
07-01-2010 04:00,30,-24,-16,1035,NW,7.15,0,0
07-01-2010 05:00,28,-25,-15,1035,NW,10.28,0,0
07-01-2010 06:00,24,-24,-15,1035,NW,14.3,0,0
07-01-2010 07:00,23,-25,-13,1036,NE,4.92,0,0
07-01-2010 08:00,24,-24,-14,1036,NW,4.02,0,0
07-01-2010 09:00,27,-23,-12,1036,NW,8.94,0,0
07-01-2010 10:00,40,-22,-11,1036,NW,12.96,0,0
